Compresser,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
Trunk,3,9,-1,-1,-1,33,6.95275224650733e-310,1.6885046602728624,59224,100000
SZ,3,-1,1,0,0,38,12,2.3828813801648954,41966,100000
Trunk,3,9,-1,-1,-1,37,6.95275224650733e-310,1.6889609512228076,59208,100000
SZ,3,-1,1,0,1,7,2,2.444688913335778,40905,100000
Trunk,3,9,-1,-1,-1,26,6.95275224650733e-310,1.6890465332319906,59205,100000
SZ,3,-1,1,1,0,7,3,2.4852747471232943,40237,100000
Trunk,3,9,-1,-1,-1,30,6.95275224650733e-310,1.690445601460545,59156,100000
SZ,3,-1,1,1,1,9,3,2.446782481037436,40870,100000
Trunk,3,9,-1,-1,-1,49,1,1.686881125487087,59281,100000
SZ,3,-1,1,2,0,12,13,2.417093686551291,41372,100000
Trunk,3,9,-1,-1,-1,36,6.95275224650733e-310,1.6905313339982757,59153,100000
SZ,3,-1,1,2,1,11,2,2.348575588905329,42579,100000
Trunk,3,9,-1,-1,-1,29,6.95275224650733e-310,1.6899885080781452,59172,100000
SZ,3,-1,1,3,0,12,4,2.4351044659815906,41066,100000
Trunk,3,9,-1,-1,-1,27,6.95275224650733e-310,1.6885046602728624,59224,100000
SZ,3,-1,1,3,1,7,2,2.3855530904840285,41919,100000
