system,timestamp,name,algo,errorBoundMode,interpAlgo,noise,relativeError,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744220767458390820,paramSweep_sz3_NoisyPoly,0,1,0,0.5,0.0005,10000000,-1.9476824,3.277461,562.20000000000005,468.10000000000002,3.5710625375184759,0.0013069739643427369,0,0.0026125609874725342
Morgana,1744220778947362229,paramSweep_sz3_NoisyPoly,0,1,1,0.5,0.0005,10000000,-1.9476824,3.277461,562,465.30000000000001,3.5710625375184759,0.0013069739643427369,0,0.0026125609874725342
Morgana,1744220788521022058,paramSweep_sz3_NoisyPoly,1,1,0,0.5,0.0005,10000000,-1.9476824,3.277461,624.70000000000005,230.30000000000001,3.4102073644792119,0.001142672331556787,0,0.0026125609874725342
Morgana,1744220798155795873,paramSweep_sz3_NoisyPoly,1,1,1,0.5,0.0005,10000000,-1.9476824,3.277461,622.89999999999998,233,3.4102073644792119,0.001142672331556787,0,0.0026125609874725342
Morgana,1744220803432653099,paramSweep_sz3_NoisyPoly,2,1,0,0.5,0.0005,10000000,-1.9476824,3.277461,233.09999999999999,229.69999999999999,3.4102073644792119,0.001142672331556787,0,0.0026125609874725342
Morgana,1744220808702545539,paramSweep_sz3_NoisyPoly,2,1,1,0.5,0.0005,10000000,-1.9476824,3.277461,231.19999999999999,230.90000000000001,3.3841417089035755,0.0011428256089989529,0,0.0026125609874725342
Morgana,1744220813011064954,paramSweep_sz3_NoisyPoly,3,1,0,0.5,0.0005,10000000,-1.9476824,3.277461,179.30000000000001,195.80000000000001,3.6858709141660184,0.0013065926750726999,0,0.0026125684380531311
Morgana,1744220817251745243,paramSweep_sz3_NoisyPoly,3,1,1,0.5,0.0005,10000000,-1.9476824,3.277461,177.30000000000001,191.19999999999999,3.6858709141660184,0.0013065926750726999,0,0.0026125684380531311
Morgana,1744220817914028343,paramSweep_sz3_NoisyPoly,4,1,0,0.5,0.0005,10000000,-1.9476824,3.277461,34.200000000000003,8.6999999999999993,1.1155355730907832,0,0,0
Morgana,1744220818562940709,paramSweep_sz3_NoisyPoly,4,1,1,0.5,0.0005,10000000,-1.9476824,3.277461,33.299999999999997,8.8000000000000007,1.1155355730907832,0,0,0
