system,timestamp,name,bitsTruncated,compressionLevel,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744219854785444242,paramSweep_zlib_Poly,13,1,10000000,-1002001024,998001024,66.799999999999997,11,50.425591996450038,42760.832277484507,0,262144
Morgana,1744219855747730983,paramSweep_zlib_Poly,13,2,10000000,-1002001024,998001024,66.400000000000006,11.4,50.415677259000461,42760.832277484507,0,262144
Morgana,1744219856748491646,paramSweep_zlib_Poly,13,3,10000000,-1002001024,998001024,68.900000000000006,11.1,50.476752931437424,42760.832277484507,0,262144
Morgana,1744219857920119319,paramSweep_zlib_Poly,13,4,10000000,-1002001024,998001024,86.700000000000003,11,92.823792594517826,42760.832277484507,0,262144
Morgana,1744219859086492559,paramSweep_zlib_Poly,13,5,10000000,-1002001024,998001024,86.700000000000003,11.199999999999999,92.872068725330863,42760.832277484507,0,262144
Morgana,1744219860369504009,paramSweep_zlib_Poly,13,6,10000000,-1002001024,998001024,97.400000000000006,11,92.891910972392523,42760.832277484507,0,262144
Morgana,1744219861745228226,paramSweep_zlib_Poly,13,7,10000000,-1002001024,998001024,108.2,11.1,92.932484549974447,42760.832277484507,0,262144
Morgana,1744219863485197540,paramSweep_zlib_Poly,13,8,10000000,-1002001024,998001024,143,11,92.939394221028465,42760.832277484507,0,262144
Morgana,1744219865505102390,paramSweep_zlib_Poly,13,9,10000000,-1002001024,998001024,172.5,11,92.939394221028465,42760.832277484507,0,262144
